classifier_id,name,description
1,_CLASSIFIER,theme0
1,tsa24_clipped,tsa24_clipped
2,_CLASSIFIER,theme1
2,0,0
2,1,1
3,_CLASSIFIER,theme2
3,2402002,2402002
3,2401007,2401007
3,2402001,2402001
3,2401005,2401005
3,2402000,2402000
3,2403004,2403004
3,2403006,2403006
3,2401004,2401004
3,2401006,2401006
3,2402004,2402004
3,2402007,2402007
3,2403005,2403005
3,2401002,2401002
3,2403007,2403007
3,2403003,2403003
3,2401000,2401000
3,2402005,2402005
3,2402006,2402006
3,2401003,2401003
3,2403002,2403002
3,2402003,2402003
3,2403000,2403000
3,2401001,2401001
3,2403001,2403001
4,_CLASSIFIER,theme3
4,304,304
4,100,100
4,1201,1201
4,204,204
4,104,104
5,_CLASSIFIER,theme4
5,2402002,2402002
5,2401007,2401007
5,2422007,2422007
5,2402001,2402001
5,2401005,2401005
5,2422003,2422003
5,2402000,2402000
5,2403004,2403004
5,2423004,2423004
5,2403006,2403006
5,2421007,2421007
5,2423003,2423003
5,2401004,2401004
5,2401006,2401006
5,2402004,2402004
5,2421002,2421002
5,2422004,2422004
5,2423002,2423002
5,2422002,2422002
5,2402007,2402007
5,2403005,2403005
5,2401002,2401002
5,2403007,2403007
5,2423007,2423007
5,2403003,2403003
5,2401000,2401000
5,2402005,2402005
5,2402006,2402006
5,2401003,2401003
5,2423001,2423001
5,2403002,2403002
5,2402003,2402003
5,2422000,2422000
5,2403000,2403000
5,2401001,2401001
5,2423000,2423000
5,2403001,2403001
6,_CLASSIFIER,species
6,softwood,softwood
6,hardwood,hardwood
